ticket_number,article,quantity,unit_price,timestamp
283365,BOULE 200G,1,1.2,02/09/22 11:43
283365,COUPE,1,0.15,02/09/22 11:43
283366,BOULE 400G,1,1.7,02/09/22 11:44
283366,COUPE,1,0.15,02/09/22 11:44
283367,SANDWICH COMPLET,1,5,02/09/22 11:45
283368,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:46
283368,PARIS BREST,1,2.2,02/09/22 11:46
283369,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:49
283370,TRADITIONAL BAGUETTE,2,1.3,02/09/22 11:49
283371,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:50
283372,TRADITIONAL BAGUETTE,2,1.3,02/09/22 11:52
283373,FORMULE SANDWICH,1,7,02/09/22 11:52
283374,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:54
283375,BANETTE,1,1.15,02/09/22 11:54
283376,BAGUETTE,2,1,02/09/22 11:55
283377,COUPE,1,0.15,02/09/22 11:56
283377,SEIGLE,1,2,02/09/22 11:56
283377,GD KOUIGN AMANN,1,9,02/09/22 11:56
283378,TRADITIONAL BAGUETTE,2,1.3,02/09/22 11:57
283378,QUIM BREAD,2,1.2,02/09/22 11:57
283379,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:58
283380,MOISSON,1,2.2,02/09/22 11:59
283380,COUPE,1,0.15,02/09/22 11:59
283381,TRADITIONAL BAGUETTE,4,1.3,02/09/22 12:00
283382,TRADITIONAL BAGUETTE,1,1.3,02/09/22 12:01
283383,TRADITIONAL BAGUETTE,1,1.3,02/09/22 12:01
283384,TRADITIONAL BAGUETTE,1,1.3,02/09/22 12:02
283385,CEREAL BAGUETTE,1,1.35,02/09/22 12:04
283386,TARTELETTE,1,2.2,02/09/22 12:06
283386,COOKIE,1,1.15,02/09/22 12:06
283387,BANETTE,4,1.15,02/09/22 12:07
283388,FORMULE SANDWICH,1,7,02/09/22 12:10
283389,TRADITIONAL BAGUETTE,1,1.3,02/09/22 12:12
283390,BANETTE,1,1.15,02/09/22 12:13
283391,ECLAIR,1,2.2,02/09/22 12:14
283391,PT NANTAIS,1,3.5,02/09/22 12:14
283392,COOKIE,1,1.15,02/09/22 12:15
283393,BANETTE,1,1.15,02/09/22 12:16
283394,BAGUETTE,1,1,02/09/22 12:20
283395,BANETTE,1,1.15,02/09/22 12:23
283396,FORMULE SANDWICH,3,7,02/09/22 12:28
283397,BANETTE,1,1.15,02/09/22 12:30
283398,TRADITIONAL BAGUETTE,1,1.3,02/09/22 12:30
283398,MACARON,6,1,02/09/22 12:30
283399,TRADITIONAL BAGUETTE,1,1.3,02/09/22 12:32
283400,TRADITIONAL BAGUETTE,1,1.3,02/09/22 12:32
283401,TRADITIONAL BAGUETTE,3,1.3,02/09/22 12:43
283401,MOISSON,1,2.2,02/09/22 12:43
283401,COUPE,1,0.15,02/09/22 12:43
283403,FINANCIER X5,1,4,02/09/22 12:46
283404,FORMULE SANDWICH,2,7,02/09/22 12:49
283405,TRADITIONAL BAGUETTE,2,1.3,02/09/22 12:50
283406,CAFE OU EAU,2,1,02/09/22 12:50
283407,TRADITIONAL BAGUETTE,1,1.3,02/09/22 12:52
283408,TRADITIONAL BAGUETTE,1,1.3,02/09/22 15:57
283409,GRAND FAR BRETON,1,7.5,02/09/22 15:58
283409,TRADITIONAL BAGUETTE,3,1.3,02/09/22 15:58
283410,COUPE,1,0.15,02/09/22 16:01
283410,CEREAL BAGUETTE,1,1.35,02/09/22 16:01
283410,BOULE 200G,1,1.2,02/09/22 16:01
283411,PALET BRETON,1,1.2,02/09/22 16:01
283411,TRADITIONAL BAGUETTE,4,1.3,02/09/22 16:01
283411,CEREAL BAGUETTE,3,1.35,02/09/22 16:01
283412,TRADITIONAL BAGUETTE,1,1.3,02/09/22 16:03
283413,TRADITIONAL BAGUETTE,1,1.3,02/09/22 16:04
283414,BANETTE,1,1.15,02/09/22 16:05
283415,KOUIGN AMANN,2,2.3,02/09/22 16:08
283415,TRADITIONAL BAGUETTE,1,1.3,02/09/22 16:08
283415,CAFE OU EAU,2,1,02/09/22 16:08
283416,BANETTE,2,1.15,02/09/22 16:17
283417,PAIN AU CHOCOLAT,2,1.3,02/09/22 16:21
283417,12 MACARON,1,10,02/09/22 16:21
283418,COUPE,1,0.15,02/09/22 16:23
283418,BOULE 400G,1,1.7,02/09/22 16:23
283418,SPECIAL BREAD,1,2.6,02/09/22 16:23
283418,COUPE,1,0.15,02/09/22 16:23
283419,TARTELETTE,1,2.2,02/09/22 16:33
283419,BOULE 400G,1,1.7,02/09/22 16:33
283419,COUPE,1,0.15,02/09/22 16:33
283419,DEMI PAIN,1,0.7,02/09/22 16:33
283420,PAIN AU CHOCOLAT,1,1.3,02/09/22 16:35
283421,GRANDE SUCETTE,3,0.6,02/09/22 16:38
283421,QUIM BREAD,1,1.2,02/09/22 16:38
283421,COOKIE,5,1.15,02/09/22 16:38
283422,TRADITIONAL BAGUETTE,1,1.3,02/09/22 16:40
283422,GRANDE SUCETTE,1,0.6,02/09/22 16:40
283423,MACARON,1,1,02/09/22 16:41
283423,PAIN AU CHOCOLAT,1,1.3,02/09/22 16:41
283424,TRADITIONAL BAGUETTE,1,1.3,02/09/22 16:42
283425,COOKIE,2,1.15,02/09/22 16:44
283426,SPECIAL BREAD,1,2.6,02/09/22 17:00
283427,CEREAL BAGUETTE,1,1.35,02/09/22 17:01
283428,BANETTE,1,1.15,02/09/22 17:12
283429,BANETTE,1,1.15,02/09/22 17:13
283429,PARIS BREST,1,2.2,02/09/22 17:13
283429,MILLES FEUILLES,1,2.5,02/09/22 17:13
283430,PAIN AU CHOCOLAT,1,1.3,02/09/22 17:22
283431,PAIN CHOCO AMANDES,1,1.7,02/09/22 17:28
283431,PAIN AUX RAISINS,1,1.6,02/09/22 17:28
283432,TARTELETTE,2,2.2,02/09/22 17:30
283433,FICELLE,1,0.7,02/09/22 17:30
283434,BANETTE,2,1.15,02/09/22 17:31
283434,FICELLE,1,0.7,02/09/22 17:31
283434,PAIN AU CHOCOLAT,1,1.3,02/09/22 17:31
283434,CROISSANT,1,1.2,02/09/22 17:31
283435,SPECIAL BREAD,1,2.6,02/09/22 17:34
283435,COUPE,1,0.15,02/09/22 17:34
283436,GRAND FAR BRETON,1,7.5,02/09/22 17:35
283437,SPECIAL BREAD,1,2.6,02/09/22 17:37
283437,COUPE,1,0.15,02/09/22 17:37
283438,TRADITIONAL BAGUETTE,1,1.3,02/09/22 17:38
283438,CROISSANT AMANDES,2,1.6,02/09/22 17:38
283439,SPECIAL BREAD,1,2.6,02/09/22 17:39
283439,PAIN AUX RAISINS,2,1.6,02/09/22 17:39
283439,PAIN AU CHOCOLAT,2,1.3,02/09/22 17:39
283439,COUPE,1,0.15,02/09/22 17:39
283440,DEMI BAGUETTE,1,0.5,02/09/22 17:41
283441,TRADITIONAL BAGUETTE,1,1.3,02/09/22 17:43
283442,PAIN CHOCO AMANDES,1,1.7,02/09/22 17:45
283443,PAIN BANETTE,1,1.6,02/09/22 17:46
283444,DEMI PAIN,1,0.7,02/09/22 17:51
283445,BAGUETTE,3,1,02/09/22 17:54
283446,COUPE,1,0.15,02/09/22 17:59
283446,BOULE 200G,1,1.2,02/09/22 17:59
283446,MACARON,2,1,02/09/22 17:59
283447,COUPE,1,0.15,02/09/22 18:11
283447,BOULE 200G,1,1.2,02/09/22 18:11
283448,BOULE 400G,1,1.7,02/09/22 18:14
283448,COUPE,1,0.15,02/09/22 18:14
283449,DEMI PAIN,1,0.7,02/09/22 18:21
283450,BOULE 400G,1,1.7,02/09/22 18:32
283452,BAGUETTE,1,1,02/09/22 18:47
283452,CROISSANT,2,1.2,02/09/22 18:47
283453,BAGUETTE,1,1,02/09/22 19:00
283453,TARTELETTE,1,2.2,02/09/22 19:00
283454,CROISSANT,1,1.2,03/09/22 7:42
283454,TRADITIONAL BAGUETTE,1,1.3,03/09/22 7:42
283455,ECLAIR,1,2.2,03/09/22 7:43
283455,TRADITIONAL BAGUETTE,1,1.3,03/09/22 7:43
283456,MILLES FEUILLES,1,2.5,03/09/22 7:44
283456,PARIS BREST,1,2.2,03/09/22 7:44
283456,TRADITIONAL BAGUETTE,2,1.3,03/09/22 7:44
283456,FLAN,1,2.2,03/09/22 7:44
283456,TROPEZIENNE,2,2.2,03/09/22 7:44
283456,ECLAIR,1,2.2,03/09/22 7:44
283457,BAGUETTE,1,1,03/09/22 7:56
283457,BOULE 200G,1,1.2,03/09/22 7:56
283458,TRADITIONAL BAGUETTE,2,1.3,03/09/22 7:59
283459,BAGUETTE,1,1,03/09/22 8:04
283459,FICELLE,1,0.7,03/09/22 8:04
283460,BAGUETTE,1,1,03/09/22 8:06
283460,COUPE,2,0.15,03/09/22 8:06
283460,BOULE 400G,2,1.7,03/09/22 8:06
283461,BAGUETTE,1,1,03/09/22 8:10
283462,PAIN AU CHOCOLAT,2,1.3,03/09/22 8:15
283462,PAIN CHOCO AMANDES,1,1.7,03/09/22 8:15
283462,CROISSANT,3,1.2,03/09/22 8:15
283463,PAIN AU CHOCOLAT,2,1.3,03/09/22 8:16
283463,CROISSANT,1,1.2,03/09/22 8:16
283464,TRADITIONAL BAGUETTE,2,1.3,03/09/22 8:19
283464,CROISSANT,2,1.2,03/09/22 8:19
283465,COUPE,1,0.15,03/09/22 8:21
283465,BAGUETTE,1,1,03/09/22 8:21
283465,CAMPAGNE,1,2,03/09/22 8:21
283466,COUPE,1,0.15,03/09/22 8:27
283466,TRADITIONAL BAGUETTE,2,1.3,03/09/22 8:27
283466,VIK BREAD,1,2.7,03/09/22 8:27
283467,TRADITIONAL BAGUETTE,2,1.3,03/09/22 8:31
283468,VIK BREAD,1,2.7,03/09/22 8:32
283468,COUPE,1,0.15,03/09/22 8:32
283468,TRADITIONAL BAGUETTE,2,1.3,03/09/22 8:32
283468,CROISSANT,8,1.2,03/09/22 8:32
283469,TRADITIONAL BAGUETTE,1,1.3,03/09/22 8:33
283469,TARTELETTE,1,2.2,03/09/22 8:33
283470,BANETTE,1,1.15,03/09/22 8:35
283470,PAIN AU CHOCOLAT,4,1.3,03/09/22 8:35
283470,BAGUETTE,2,1,03/09/22 8:35
283471,BANETTE,2,1.15,03/09/22 8:36
283471,CROISSANT,2,1.2,03/09/22 8:36
283472,TRADITIONAL BAGUETTE,2,1.3,03/09/22 8:36
283473,BRIOCHE,1,6,03/09/22 8:37
283473,TRADITIONAL BAGUETTE,1,1.3,03/09/22 8:37
283474,CROISSANT,2,1.2,03/09/22 8:40
283475,BAGUETTE,1,1,03/09/22 8:42
283476,GRAND FAR BRETON,1,7.5,03/09/22 8:44
283476,CROISSANT,3,1.2,03/09/22 8:44
283477,CROISSANT,2,1.2,03/09/22 8:51
283477,MACARON,2,1,03/09/22 8:51
283477,PAIN AU CHOCOLAT,4,1.3,03/09/22 8:51
283478,TRADITIONAL BAGUETTE,1,1.3,03/09/22 8:51
283479,TRADITIONAL BAGUETTE,1,1.3,03/09/22 8:52
283480,PAIN AU CHOCOLAT,1,1.3,03/09/22 8:58
283480,PAIN AUX RAISINS,1,1.6,03/09/22 8:58
283480,TRADITIONAL BAGUETTE,2,1.3,03/09/22 8:58
283480,CROISSANT,2,1.2,03/09/22 8:58
283481,CROISSANT,2,1.2,03/09/22 8:59
283481,PAIN AU CHOCOLAT,2,1.3,03/09/22 8:59
283482,BOULE 200G,1,1.2,03/09/22 8:59
283483,PAIN AU CHOCOLAT,3,1.3,03/09/22 9:15
283483,TRADITIONAL BAGUETTE,3,1.3,03/09/22 9:15
283483,CROISSANT,4,1.2,03/09/22 9:15
283484,BANETTE,1,1.15,03/09/22 9:18
283485,TRADITIONAL BAGUETTE,3,1.3,03/09/22 9:29
283486,TRADITIONAL BAGUETTE,2,1.3,03/09/22 9:31
283487,BAGUETTE,1,1,03/09/22 9:31
283488,PARIS BREST,1,2.2,03/09/22 9:31
283488,TRADITIONAL BAGUETTE,1,1.3,03/09/22 9:31
283488,TARTELETTE,1,2.2,03/09/22 9:31
283489,CAMPAGNE,1,2,03/09/22 9:33
283489,COUPE,1,0.15,03/09/22 9:33
283490,TRADITIONAL BAGUETTE,4,1.3,03/09/22 9:36
283491,CROISSANT,2,1.2,03/09/22 9:37
283491,PAIN AU CHOCOLAT,2,1.3,03/09/22 9:37
283492,TRADITIONAL BAGUETTE,1,1.3,03/09/22 9:37
283493,CAMPAGNE,1,2,03/09/22 9:42
283494,COMPLET,1,1.9,03/09/22 9:42
283494,COUPE,1,0.15,03/09/22 9:42
283494,COUPE,1,0.15,03/09/22 9:42
283494,SPECIAL BREAD,1,2.6,03/09/22 9:42
283495,CROISSANT,6,1.2,03/09/22 9:44
283496,PAIN BANETTE,1,1.6,03/09/22 9:45
283496,BAGUETTE,2,1,03/09/22 9:45
283497,BANETTE,1,1.15,03/09/22 9:46
283497,TRADITIONAL BAGUETTE,1,1.3,03/09/22 9:46
283498,PAIN,1,1.3,03/09/22 9:47
283499,BRIOCHE,1,6,03/09/22 9:51
283499,BANETTE,2,1.15,03/09/22 9:51
283499,PALET BRETON,1,1.2,03/09/22 9:51
283500,TRADITIONAL BAGUETTE,1,1.3,03/09/22 9:51
283500,COMPLET,1,1.9,03/09/22 9:51
283501,TRADITIONAL BAGUETTE,1,1.3,03/09/22 9:52
283502,COUPE,1,0.15,03/09/22 9:54
283502,BANETTE,1,1.15,03/09/22 9:54
283502,SPECIAL BREAD,1,2.6,03/09/22 9:54
283503,PAIN AU CHOCOLAT,1,1.3,03/09/22 9:55
283503,BAGUETTE,1,1,03/09/22 9:55
283503,CROISSANT,1,1.2,03/09/22 9:55
283504,COUPE,2,0.15,03/09/22 9:58
283504,CAMPAGNE,2,2,03/09/22 9:58
283504,TRADITIONAL BAGUETTE,1,1.3,03/09/22 9:58
283505,BANETTE,1,1.15,03/09/22 9:59
283506,TRADITIONAL BAGUETTE,2,1.3,03/09/22 10:00
283507,TRADITIONAL BAGUETTE,1,1.3,03/09/22 10:00
283508,TRADITIONAL BAGUETTE,1,1.3,03/09/22 10:04
283508,BANETTINE,1,0.7,03/09/22 10:04
283509,SPECIAL BREAD,1,2.6,03/09/22 10:07
283509,TRADITIONAL BAGUETTE,1,1.3,03/09/22 10:07
283509,COUPE,1,0.15,03/09/22 10:07
283509,TARTE FRUITS 4P,1,10,03/09/22 10:07
283510,CROISSANT,1,1.2,03/09/22 10:08
283510,KOUIGN AMANN,3,2.3,03/09/22 10:08
283510,PAIN AU CHOCOLAT,2,1.3,03/09/22 10:08
283511,TRADITIONAL BAGUETTE,2,1.3,03/09/22 10:08
283511,BAGUETTE,1,1,03/09/22 10:08
283512,TRADITIONAL BAGUETTE,1,1.3,03/09/22 10:15
283513,TRADITIONAL BAGUETTE,1,1.3,03/09/22 10:16
283514,BANETTE,20,1.15,03/09/22 10:18
283515,TRADITIONAL BAGUETTE,1,1.3,03/09/22 10:20
283515,DEMI BAGUETTE,1,0.5,03/09/22 10:20
283515,CROISSANT AMANDES,1,1.6,03/09/22 10:20
283516,PAIN BANETTE,1,1.6,03/09/22 10:22
283516,BANETTE,2,1.15,03/09/22 10:22
283517,TRADITIONAL BAGUETTE,2,1.3,03/09/22 10:25
283518,COUPE,2,0.15,03/09/22 10:25
283518,SEIGLE,2,2,03/09/22 10:25
283518,TARTE FRUITS 4P,2,10,03/09/22 10:25
283519,COMPLET,1,1.9,03/09/22 10:25
283519,COUPE,1,0.15,03/09/22 10:25
283520,COUPE,1,0.15,03/09/22 10:26
283520,BOULE 200G,1,1.2,03/09/22 10:26
283521,COUPE,1,0.15,03/09/22 10:26
283521,BOULE 200G,1,1.2,03/09/22 10:26
283522,BOULE 400G,1,1.7,03/09/22 10:27
283522,COUPE,1,0.15,03/09/22 10:27
283522,COUPE,1,0.15,03/09/22 10:27
283522,COMPLET,1,1.9,03/09/22 10:27
283523,BAGUETTE,1,1,03/09/22 10:28
283524,PAIN,1,1.3,03/09/22 10:28
283525,BAGUETTE,1,1,03/09/22 10:32
283525,TRADITIONAL BAGUETTE,1,1.3,03/09/22 10:32
283526,COUPE,2,0.15,03/09/22 10:34
283526,BAGUETTE,2,1,03/09/22 10:34
283527,COMPLET,1,1.9,03/09/22 10:35
283527,COUPE,1,0.15,03/09/22 10:35
283527,VIK BREAD,1,2.7,03/09/22 10:35
283527,COUPE,1,0.15,03/09/22 10:35
283528,FLAN,1,2.2,03/09/22 10:37
283528,CEREAL BAGUETTE,1,1.35,03/09/22 10:37
283528,TARTELETTE,1,2.2,03/09/22 10:37
283529,BAGUETTE,1,1,03/09/22 10:38
283530,TRADITIONAL BAGUETTE,1,1.3,03/09/22 10:38
283530,VIK BREAD,1,2.7,03/09/22 10:38
283531,TRADITIONAL BAGUETTE,2,1.3,03/09/22 10:38
283532,SUCETTE,2,0.3,03/09/22 10:41
283532,MACARON,4,1,03/09/22 10:41
283532,BAGUETTE,3,1,03/09/22 10:41
283533,BANETTE,1,1.15,03/09/22 10:43
283534,BAGUETTE,1,1,03/09/22 10:44
283534,BANETTE,1,1.15,03/09/22 10:44
283535,COUPE,1,0.15,03/09/22 10:44
283535,BAGUETTE,1,1,03/09/22 10:44
283535,COMPLET,1,1.9,03/09/22 10:44
283536,TRADITIONAL BAGUETTE,2,1.3,03/09/22 10:46
283537,FORMULE SANDWICH,2,7,03/09/22 10:49
283538,BAGUETTE,1,1,03/09/22 10:50
283539,TRADITIONAL BAGUETTE,1,1.3,03/09/22 10:51
283540,BOULE 200G,3,1.2,03/09/22 10:51
283540,COUPE,3,0.15,03/09/22 10:51
